# Pin Out For ECP5U-25,,,,,,,,,
# Revision 1.1 - Include CABGA256 package,,,,,,,,,
"# Revised Oct. 17, 2017",,,,,,,,,
,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CABGA381,CSFBGA285,CABGA256
0,GND,-,-,-,-,-,M7,N10,-
0,GND,-,-,-,-,-,N7,E11,-
0,GND,-,-,-,-,-,P7,F11,-
0,GND,-,-,-,-,-,G6,G11,-
0,GND,-,-,-,-,-,K6,H11,-
0,GND,-,-,-,-,-,N6,J11,-
0,GND,-,-,-,-,-,D4,K11,-
0,GND,-,-,-,-,-,G4,L11,-
0,GND,-,-,-,-,-,J2,M11,-
0,GND,-,-,-,-,-,M2,N11,-
0,GND,-,-,-,-,-,-,E12,-
0,GND,-,-,-,-,-,-,F12,-
0,GND,-,-,-,-,-,-,G12,-
0,GND,-,-,-,-,-,-,H12,-
0,GND,-,-,-,-,-,-,J12,-
0,GND,-,-,-,-,-,-,K12,-
0,GND,-,-,-,-,-,-,L12,-
0,GND,-,-,-,-,-,-,M12,-
0,GND,-,-,-,-,-,-,N12,-
0,GND,-,-,-,-,-,-,F13,-
0,GND,-,-,-,-,-,-,G13,-
0,GND,-,-,-,-,-,-,H13,-
0,GND,-,-,-,-,-,-,J13,-
0,GND,-,-,-,-,-,-,K13,-
0,GND,-,-,-,-,-,-,L13,-
0,GND,-,-,-,-,-,-,M13,-
0,GND,-,-,-,-,-,-,E14,-
0,GND,-,-,-,-,-,-,F14,-
0,GND,-,-,-,-,-,-,K14,-
0,GND,-,-,-,-,-,-,L14,-
0,GND,-,-,-,-,-,-,B16,-
0,GND,-,-,-,-,-,-,T16,-
0,GND,-,-,-,-,-,-,G17,-
0,GND,-,-,-,-,-,-,L17,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,VCC,-,-,-,-,-,H13,J4,L10
0,VCC,-,-,-,-,-,J13,M4,G9
0,VCC,-,-,-,-,-,K13,J5,L9
0,VCC,-,-,-,-,-,L13,P7,L8
0,VCC,-,-,-,-,-,M13,D8,G7
0,VCC,-,-,-,-,-,N13,D9,G6
0,VCC,-,-,-,-,-,H12,P9,-
0,VCC,-,-,-,-,-,N12,D10,-
0,VCC,-,-,-,-,-,H11,D11,-
0,VCC,-,-,-,-,-,N11,P11,-
0,VCC,-,-,-,-,-,H10,J14,-
0,VCC,-,-,-,-,-,N10,J15,-
0,VCC,-,-,-,-,-,H9,M15,-
0,VCC,-,-,-,-,-,N9,-,-
0,VCC,-,-,-,-,-,H8,-,-
0,VCC,-,-,-,-,-,J8,-,-
0,VCC,-,-,-,-,-,K8,-,-
0,VCC,-,-,-,-,-,L8,-,-
0,VCC,-,-,-,-,-,M8,-,-
0,VCC,-,-,-,-,-,N8,-,-
0,VCC,-,-,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,F15,E6,G11
0,VCCAUX,-,-,-,-,-,P15,N6,L7
0,VCCAUX,-,-,-,-,-,F6,E13,-
0,VCCAUX,-,-,-,-,-,P6,P13,-
0,VCCAUX,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-
0,VCCIO0,0,-,-,-,-,F10,D12,F7
0,VCCIO0,0,-,-,-,-,F9,-,F6
0,VCCIO0,0,-,-,-,-,-,-,-
0,VCCIO0,0,-,-,-,-,-,-,-
0,VCCIO0,0,-,-,-,-,-,-,-
0,VCCIO0,0,-,-,-,-,-,-,-
0,VCCIO1,1,-,-,-,-,F12,D7,F11
0,VCCIO1,1,-,-,-,-,F11,-,F10
0,VCCIO1,1,-,-,-,-,-,-,-
0,VCCIO1,1,-,-,-,-,-,-,-
0,VCCIO1,1,-,-,-,-,-,-,-
0,VCCIO1,1,-,-,-,-,-,-,-
0,VCCIO2,2,-,-,-,-,H15,G5,H11
0,VCCIO2,2,-,-,-,-,J15,H5,J11
0,VCCIO2,2,-,-,-,-,H14,-,-
0,VCCIO2,2,-,-,-,-,-,-,-
0,VCCIO2,2,-,-,-,-,-,-,-
0,VCCIO2,2,-,-,-,-,-,-,-
0,VCCIO3,3,-,-,-,-,L15,M5,K11
0,VCCIO3,3,-,-,-,-,M15,N5,L11
0,VCCIO3,3,-,-,-,-,L14,-,-
0,VCCIO3,3,-,-,-,-,-,-,-
0,VCCIO3,3,-,-,-,-,-,-,-
0,VCCIO3,3,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,R1,-
0,GND,-,-,-,-,-,V7,R2,-
0,GND,-,-,-,-,-,V8,T2,-
0,GND,-,-,-,-,-,V9,U2,-
0,GND,-,-,-,-,-,-,T3,-
0,GND,-,-,-,-,-,-,U3,-
0,GND,-,-,-,-,-,-,T4,-
0,GND,-,-,-,-,-,-,U4,-
0,GND,-,-,-,-,-,U7,V4,-
0,GND,-,-,-,-,-,U8,U5,-
0,GND,-,-,-,-,-,U9,P6,-
0,GND,-,-,-,-,-,-,T6,-
0,GND,-,-,-,-,-,U10,T7,-
0,GND,-,-,-,-,-,-,U7,-
0,GND,-,-,-,-,-,-,V7,-
0,GND,-,-,-,-,-,V20,P8,-
0,GND,-,-,-,-,-,-,T8,-
0,GND,-,-,-,-,-,-,T9,-
0,GND,-,-,-,-,-,-,U9,-
0,GND,-,-,-,-,-,V5,T10,-
0,GND,-,-,-,-,-,-,U10,-
0,GND,-,-,-,-,-,W6,V10,-
0,GND,-,-,-,-,-,-,T11,-
0,GND,-,-,-,-,-,V6,U11,-
0,GND,-,-,-,-,-,-,P12,-
0,GND,-,-,-,-,-,W7,T12,-
0,GND,-,-,-,-,-,V15,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,W16,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,V16,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,W19,-,-
0,GND,-,-,-,-,-,V19,-,-
0,GND,-,-,-,-,-,V14,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,U14,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,W15,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,U13,-,-
0,GND,-,-,-,-,-,V13,-,-
0,GND,-,-,-,-,-,U12,-,-
0,GND,-,-,-,-,-,V12,-,-
0,GND,-,-,-,-,-,W12,-,-
0,GND,-,-,-,-,-,U11,-,-
0,GND,-,-,-,-,-,U6,P10,-
0,GND,-,-,-,-,-,T6,R10,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,V10,R3,-
0,GND,-,-,-,-,-,V11,P5,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-
0,VCCIO8,8,-,-,-,-,P10,N13,-
0,VCCIO8,8,-,-,-,-,P9,P14,-
0,VCCIO8,8,-,-,-,-,-,-,L6
0,VCCIO8,8,-,-,-,-,-,-,-
0,VCCIO6,6,-,-,-,-,L7,M14,J7
0,VCCIO6,6,-,-,-,-,L6,N14,J6
0,VCCIO6,6,-,-,-,-,M6,-,-
0,VCCIO6,6,-,-,-,-,-,-,-
0,VCCIO6,6,-,-,-,-,-,-,-
0,VCCIO7,7,-,-,-,-,H7,G14,-
0,VCCIO7,7,-,-,-,-,H6,H14,-
0,VCCIO7,7,-,-,-,-,J6,-,-
0,VCCIO7,7,-,-,-,-,-,-,H7
0,VCCIO7,7,-,-,-,-,-,-,H6
0,VCCIO7,7,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,W20,-,-
0,NC,-,-,-,-,-,Y19,-,-
0,NC,-,-,-,-,-,V18,-,-
0,NC,-,-,-,-,-,W18,-,-
0,NC,-,-,-,-,-,K17,-,-
0,NC,-,-,-,-,-,V17,-,-
0,NC,-,-,-,-,-,W17,-,-
0,NC,-,-,-,-,-,Y17,-,-
0,NC,-,-,-,-,-,K16,-,-
0,NC,-,-,-,-,-,T16,-,-
0,NC,-,-,-,-,-,Y16,-,-
0,NC,-,-,-,-,-,A15,-,-
0,NC,-,-,-,-,-,T15,-,-
0,NC,-,-,-,-,-,U15,-,-
0,NC,-,-,-,-,-,Y15,-,-
0,NC,-,-,-,-,-,T14,-,-
0,NC,-,-,-,-,-,W14,-,-
0,NC,-,-,-,-,-,Y14,-,-
0,NC,-,-,-,-,-,T13,-,-
0,NC,-,-,-,-,-,W13,-,-
0,NC,-,-,-,-,-,T12,-,-
0,NC,-,-,-,-,-,T11,-,-
0,NC,-,-,-,-,-,D10,-,-
0,NC,-,-,-,-,-,E10,-,-
0,NC,-,-,-,-,-,C9,-,-
0,NC,-,-,-,-,-,M5,-,-
0,NC,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-
