# Pin Out For ECP5U-25,,,,,,,,,
# Revision 1.1 - Include CABGA256 package,,,,,,,,,
"# Revised Oct. 17, 2017",,,,,,,,,
,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CABGA381,CSFBGA285,CABGA256
85,PL44A,6,-,True_OF_PL44B,TRUE,LDQS44,N2,K17,R5
86,VCC,-,-,-,-,-,-,-,-
87,PL44C,6,-,True_OF_PL44D,-,LDQ44,L1,L15,M5
88,PL44B,6,-,Comp_OF_PL44A,TRUE,LDQSN44,M1,L18,T4
89,VSS,-,-,-,-,-,-,-,-
90,PL44D,6,-,Comp_OF_PL44C,-,LDQ44,N1,L16,N5
91,PL47A,6,-,True_OF_PL47B,TRUE,LDQ44,P1,-,M6
92,VSSIO6,-,-,-,-,-,-,-,-
93,PL47B,6,-,Comp_OF_PL47A,TRUE,LDQ44,P2,-,N6
94,VCCIO6,-,-,-,-,-,-,-,-
95,PL47C,6,LLC_GPLL0T_IN,True_OF_PL47D,-,LDQ44,P3,M16,P6
96,PL47D,6,LLC_GPLL0C_IN,Comp_OF_PL47C,-,LDQ44,P4,M17,P5
97,NC,-,-,-,-,-,-,-,-
98,NC,-,-,-,-,-,-,-,-
99,GND,-,-,-,-,-,-,-,-
100,VCC,-,-,-,-,-,-,-,-
101,VCC,-,-,-,-,-,-,-,-
102,VSS,-,-,-,-,-,-,-,-
103,PB4A,8,D7/IO7,True_OF_PB4B,-,-,R1,N15,T6
104,PB6A,8,D5/MISO2/IO5,True_OF_PB6B,-,-,U1,N17,R7
105,VCC,-,-,-,-,-,-,-,-
106,PB4B,8,D6/IO6,Comp_OF_PB4A,-,-,T1,N16,R6
107,PB6B,8,D4/MOSI2/IO4,Comp_OF_PB6A,-,-,V1,M18,P7
108,VSS,-,-,-,-,-,-,-,-
109,PB9A,8,D3/IO3,True_OF_PB9B,-,-,W1,N18,N7
110,PB11A,8,D1/MISO/IO1,True_OF_PB11B,-,-,V2,T18,T7
111,VSSIO8,-,-,-,-,-,-,-,-
112,PB9B,8,D2/IO2,Comp_OF_PB9A,-,-,Y2,R18,M7
113,PB11B,8,D0/MOSI/IO0,Comp_OF_PB11A,-,-,W2,U18,T8
114,VCCIO8,-,-,-,-,-,-,-,-
115,PB13A,8,SN/CSN,True_OF_PB13B,-,-,T2,R17,R8
116,PB15A,8,HOLDN/DI/BUSY/CSSPIN/CEN,True_OF_PB15B,-,-,R2,U17,N8
117,VSSIO8,-,-,-,-,-,-,-,-
118,PB13B,8,CS1N,Comp_OF_PB13A,-,-,U2,T17,P8
119,PB15B,8,DOUT/CSON,Comp_OF_PB15A,-,-,R3,V17,M8
120,VCCIO8,-,-,-,-,-,-,-,-
121,PB18A,8,WRITEN,-,-,-,T3,R16,M9
122,INITN,8,-,-,-,-,V3,V16,T9
123,VCCAUX,-,-,-,-,-,-,-,-
124,CCLK,8,MCLK/SCK,-,-,-,U3,U16,N9
125,PROGRAMN,8,-,-,-,-,W3,T15,R9
126,VSS,-,-,-,-,-,-,-,-
127,DONE,8,-,-,-,-,Y3,U15,P9
128,CFG_1,8,-,-,-,-,T4,T14,P10
129,VCC,-,-,-,-,-,-,-,-
130,CFG_2,8,-,-,-,-,R4,V15,R10
131,CFG_0,8,-,-,-,-,U4,U14,N10
132,VSS,-,-,-,-,-,-,-,-
133,TDO,40,-,-,-,-,V4,V14,M10
134,TCK,40,-,-,-,-,T5,U13,T10
